IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
154.211.8.47,4,4,0.00,170.53,504.08
154.218.15.75,4,4,0.00,170.10,378.00
154.211.8.172,4,4,0.00,166.02,322.60
27.50.48.5,4,4,0.00,165.79,310.99
27.50.48.113,4,4,0.00,170.57,304.66
154.211.8.75,4,4,0.00,170.20,304.14
27.50.48.120,4,4,0.00,167.99,304.01
154.211.8.145,4,4,0.00,165.57,297.81
27.50.49.183,4,4,0.00,163.01,69.85
156.254.115.2,4,4,0.00,136.50,12.52
